abortion,christad,divorce,hscat4,prcapinc,region,south,state,stateid,unemploy,union
15,70.7,5.2,1,18038,3,1,Alabama,1,5.1,10.2
14.2,31.8,4.8,4,24081,4,0,Alaska,2,7.8,20
19.1,41.1,5.8,3,19180,4,0,Arizona,3,5.5,7
11.1,60.5,5.9,1,16911,3,1,Arkansas,4,5.4,5.9
33.4,39.2, ,2,22905,4,0,California,5,7.2,16
18,37.8, ,4,22662,4,0,Colorado,6,4.2,9.6
23,58.9,3.4,3,28944,1,0,Connecticut,7,5.7,16.9
34.4,44.6,4,3,22952,3,1,Delaware,8,5.2,11.7
30,39.5,5.7,2,22028,3,1,Florida,9,5.1,6.8
21.2,56.5,4.8,1,20420,3,1,Georgia,10,4.6,7.1
29.3,34.6,4,3,30214,4,0,Hawaii,11,6.4,26.3
5.8,50.4,5.9,3,18584,4,0,Idaho,12,5.2,8.5
25.6,57.7,3.3,2,23852,2,0,Illinois,13,5.3,18.5
10.6,47.2, ,2,20281,2,0,Indiana,14,4.1,14.6
9.8,60.3,3.4,3,19245,2,0,Iowa,15,3.8,13.2
18.3,54.1,4.4,4,20754,2,0,Kansas,16,4.5,7.8
8.8,60.1,5.6,1,18197,3,1,Kentucky,17,5.6,12.2
14.7,70.1, ,1,17641,3,1,Louisiana,18,6.7,7
9.6,35.8,3.7,3,19705,1,0,Maine,19,5.1,13.5
25.6,43.9,3,3,25095,3,1,Maryland,20,4.9,14.9
29.2,60.9,2.6,3,26059,1,0,Massachusetts,21,4.3,15.1
22.6,49.3,3.9,2,22503,2,0,Michigan,22,4.9,23.1
14.2,64.2,3.3,4,22118,2,0,Minnesota,23,4,19.9
5.5,70.1,5.1,1,15726,3,1,Mississippi,24,6.1,5.4
8.9,56.3,4.7,2,20827,2,0,Missouri,25,4.6,14.6
16.2,42.7,4.6,4,18159,4,0,Montana,26,5.3,13.8
12.1,63.4,3.8,4,20531,2,0,Nebraska,27,2.9,9.3
46.7,30.5,10.4,3,24449,4,0,Nevada,28,5.4,19.1
12,38.9,4.8,4,23660,1,0,New Hampshire,29,4.2,10.2
34.5,55.7,3.2,2,28233,1,0,New Jersey,30,6.2,22
14.4,58.3,5.6,2,17256,4,0,New Mexico,31,8.4,8.4
42.8,55.4,3.6,2,26421,1,0,New York,32,6.2,26.3
21,59.8,5,1,19785,3,1,North Carolina,33,4.3,3.8
9.6,75.8,3.2,2,17411,2,0,North Dakota,34,3.1,8.6
16.2,48.9,4.2,2,20937,2,0,Ohio,35,4.9,18.9
12.9,66.7,5.8,2,17755,3,1,Oklahoma,36,4.1,8.4
22.6,31.8,4.6,4,20704,4,0,Oregon,37,5.9,17.6
15.5,58.6,3.2,2,22451,1,0,Pennsylvania,38,5.3,17.1
25.5,75.1,3.2,1,22586,1,0,Rhode Island,39,5.1,18.7
12.9,61.6,4,1,17754,3,1,South Carolina,40,6,3.7
6.6,68.1,3.7,2,18576,2,0,South Dakota,41,3.2,6.9
15.2,60.8,5.5,1,19409,3,1,Tennessee,42,5.2,8.6
20.5,63.5, ,1,20028,3,1,Texas,43,5.6,6.4
8.1,79.6,4.4,4,17318,4,0,Utah,44,3.5,8.3
17.9,41.2,4.7,4,20540,1,0,Vermont,45,4.6,8.5
20,46.8,4.6,2,22730,3,1,Virginia,46,4.4,6.5
20.2,32.5,5.2,4,23001,4,0,Washington,47,6.5,20.5
7.6,41.3,5.3,1,17322,3,1,West Virginia,48,7.5,15.6
11.6,63.9,3.3,3,20977,2,0,Wisconsin,49,3.5,18.8
2.7,47.6,6.2,4,20884,4,0,Wyoming,50,5,9.3
